URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://trip.ee/node/taxonomy/term/4427,404,,7/27/15,Not found,Desktop,4/21/16
http://trip.ee/taxonomy/term/4408,404,,3/7/12,Not found,Desktop,6/9/16
http://trip.ee/content/taxonomy/term/455,404,,3/9/15,Not found,Desktop,6/12/16
http://trip.ee/taxonomy/term/4407,404,,3/10/12,Not found,Desktop,6/8/16
http://trip.ee/content/category/rubriigid/reisidokumendid,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/4427,404,,7/27/15,Not found,Desktop,6/12/16
http://trip.ee/node/taxonomy/term/4499,404,,10/19/15,Not found,Desktop,4/21/16
http://trip.ee/node/taxonomy/term/444,404,,4/21/16,Not found,Desktop,4/21/16
http://trip.ee/node/taxonomy/term/341,404,,6/6/13,Not found,Desktop,6/22/16
http://trip.ee/node/taxonomy/term/454,404,,3/9/16,Not found,Desktop,4/21/16
http://trip.ee/taxonomy/term/286,404,,7/21/11,Not found,Desktop,5/16/16
http://trip.ee/content/taxonomy/term/374,404,,8/9/15,Not found,Desktop,6/12/16
http://trip.ee/node/taxonomy/term/4368,404,,5/16/13,Not found,Desktop,6/7/16
http://trip.ee/node/taxonomy/term/445,404,,11/23/15,Not found,Desktop,4/21/16
http://trip.ee/node/taxonomy/term/459,404,,4/21/16,Not found,Desktop,4/21/16
http://trip.ee/node/category/reisistiilid/bussireis,404,,5/16/13,Not found,Desktop,6/21/16
http://trip.ee/node/category/reisistiilid/luksusreis,404,,5/16/13,Not found,Desktop,6/21/16
http://trip.ee/node/category/reisistiilid/mbermaailmareis,404,,5/16/13,Not found,Desktop,6/21/16
http://trip.ee/node/category/rubriigid/reisidokumendid,404,,5/16/13,Not found,Desktop,6/21/16
http://trip.ee/node/taxonomy/term/404,404,,4/21/16,Not found,Desktop,6/2/16
http://trip.ee/node/category/rubriigid/tripee,404,,10/11/15,Not found,Desktop,4/21/16
http://trip.ee/taxonomy/term/4311,404,,2/11/14,Not found,Desktop,6/8/16
http://trip.ee/node/taxonomy/term/434,404,,5/16/13,Not found,Desktop,6/3/16
http://trip.ee/node/taxonomy/term/590,404,,4/21/16,Not found,Desktop,4/21/16
http://trip.ee/content/taxonomy/term/428,404,,3/22/16,Not found,Desktop,6/12/16
http://trip.ee/node/taxonomy/term/325,404,,4/13/16,Not found,Desktop,4/21/16
http://trip.ee/content/taxonomy/term/1522,404,,6/8/16,Not found,Desktop,6/12/16
http://trip.ee/trip_search,404,,2/19/11,Not found,Desktop,6/8/16
http://trip.ee/www.skytravel.ee,404,,9/16/11,Not found,Desktop,5/14/16
http://trip.ee/content/taxonomy/term/4424,404,,6/12/16,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/330,404,,6/7/16,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/431,404,,6/7/16,Not found,Desktop,6/12/16
http://trip.ee/taxonomy/term/4406,404,,2/10/14,Not found,Desktop,6/8/16
http://trip.ee/content/category/rubriigid/inimesed,404,,6/12/16,Not found,Desktop,6/12/16
http://trip.ee/node/taxonomy/term/326,404,,6/2/16,Not found,Desktop,6/2/16
http://trip.ee/node/category/rubriigid/reisimeditsiin,404,,1/30/16,Not found,Desktop,4/21/16
http://trip.ee/rss10.php,404,,1/24/11,Not found,Desktop,6/13/16
http://trip.ee/taxonomy/term/421,404,,6/11/11,Not found,Desktop,5/16/16
http://trip.ee/node/50640,404,,7/20/11,Not found,Desktop,6/11/16
http://trip.ee/taxonomy/term/472,404,,6/18/11,Not found,Desktop,5/24/16
http://trip.ee/drupal47_trip/www.ibiza-spotlight.com,404,,2/12/11,Not found,Desktop,4/26/16
http://trip.ee/content/taxonomy/term/364,404,,4/13/16,Not found,Desktop,6/12/16
http://trip.ee/taxonomy/term/479,404,,5/30/11,Not found,Desktop,6/7/16
http://trip.ee/trip_search/naelkummid,404,,1/23/11,Not found,Desktop,6/6/16
http://trip.ee/trip_destination/tid/354,404,,1/24/11,Not found,Desktop,6/2/16
http://trip.ee/trip_destination/tid/311,404,,2/19/11,Not found,Desktop,6/6/16
http://trip.ee/trip_destination/tid/332,404,,1/24/11,Not found,Desktop,5/8/16
http://trip.ee/node/taxonomy/term/320,404,,4/21/16,Not found,Desktop,4/21/16
http://trip.ee/node/taxonomy/term/408,404,,4/21/16,Not found,Desktop,4/21/16
http://trip.ee/taxonomy/term/22,404,,6/11/11,Not found,Desktop,5/22/16
http://trip.ee/taxonomy/term/839,404,,6/16/11,Not found,Desktop,6/4/16
http://trip.ee/trip_search/l%C3%A4ti-leedu,404,,2/10/11,Not found,Desktop,5/5/16
http://trip.ee/taxonomy/term/147,404,,6/4/11,Not found,Desktop,6/8/16
http://trip.ee/taxonomy/term/549,404,,9/1/11,Not found,Desktop,5/25/16
http://trip.ee/trip_destination/tid/346,404,,2/19/11,Not found,Desktop,5/5/16
http://trip.ee/taxonomy/term/835,404,,5/30/11,Not found,Desktop,5/5/16
http://trip.ee/taxonomy/term/44,404,,6/18/11,Not found,Desktop,5/17/16
http://trip.ee/taxonomy/term/28,404,,6/11/11,Not found,Desktop,5/25/16
